id;Domisili;Apakah Anda Mahasiswa / Fresh Graduate;Kemampuan Karyawan ;Target Masuk Perusahaan ;Mengetahui Perusahaan ini Dari Mana?;Provinsi;Mahasiswa/Fresh Graduate;Bukan Mahasiswa;Excel;SQL;Python;Power BI;Looker Studio;Databases;Tableau;Cari Kerja;Upskill;Networking;Switch Career;Jumlah Skill;Jumlah Motivasi;Competency Level;Motivation;Skill
1;Jawa Tengah;Ya;Python, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Tengah;1;0;0;0;1;0;0;0;1;1;1;1;0;2;3;Emerging Talent;450;527
2;Padang;Ya;Excel, SQL, Python, Power BI;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Sumatera Barat;1;0;1;1;1;1;0;0;0;1;1;1;1;4;4;Job-Ready Talent;622;561
3;Surabaya;Ya;Excel, SQL, Python, Power BI, Databases;Cari Kerja, Upskill, Networking;Teman;Jawa Timur;1;0;1;1;1;1;0;1;0;1;1;1;0;5;3;High-Potential Talent;522;549
4;Bandung;Ya;Python, Power BI;Upskill;LinkedIn;Jawa Barat;1;0;0;0;1;1;0;0;0;0;1;0;0;2;1;Emerging Talent;273;516
5;Yogyakarta;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Upskill, Networking, Switch Career;Teman;DI Yogyakarta;0;1;1;1;1;1;1;1;1;0;1;1;1;7;3;High-Potential Talent;;401
6;Tangerang ;Ya;Excel, SQL, Power BI, Tableau;Upskill, Networking;Teman;Banten;1;0;1;1;0;1;0;0;1;0;1;1;0;4;2;Job-Ready Talent;;491
7;Kudus;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Tengah;0;1;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;446
8;Boyolali;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Airflow ;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Tengah;1;0;1;1;1;1;1;1;0;1;1;1;0;6;3;High-Potential Talent;;
9;Tangerang;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Upskill, Networking;Instagram;Banten;0;1;1;1;1;1;1;1;1;0;1;1;0;7;2;High-Potential Talent;;
10;Sidoarjo, Jawa Timur;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Tableau;Cari Kerja, Upskill, Networking, Switch Career;Teman;Jawa Timur;0;1;1;1;1;1;1;0;1;1;1;1;1;6;4;High-Potential Talent;;
